H2,CO,CO2,Methane,Acetylene,Ethylene,Ethane,Furan,Water,Acid,BDV,DDF1,DDF2,Color,IFT,HI
11.8,244.4,3032.4,0,0,1,1.4,1.03,13,0.005,48,0.038,0.004,2,24,69.04761905
329.3,892,13013.8,90.9,0.7,26.7,110.3,5.64,22,0.096,68,0.021,0.001,3,17,26.19047619
18.5,462.6,7525.7,4.9,0.4,3.4,2.8,1.7,8,0.03,70,0.013,0.001,1,26,64.28571429
33.6,454.5,8411.1,3.3,0.3,5.8,4.1,1.6,12,0.032,57,0.01,0.001,1,26,64.28571429
16.6,453.9,7300.8,4.4,0,2.8,4.4,3.43,6,0.036,77,0.034,0.003,2,24,57.14285714
17.8,417.8,9837,6.6,0.3,7.1,6.4,4.98,12,0.055,58,0.025,0.001,2,23,57.14285714
11.8,470.8,9963.7,16.1,1.2,26.8,12,4.18,12,0.041,86,0.04,0.002,2,23,57.14285714
31.4,1193.2,15076,10.3,0,4.7,4.7,5.25,25,0.174,63,0.058,0.002,3,16,38.0952381
20.9,746.2,8814.6,19.8,0,2.5,2.9,2.59,18,0.031,56,0.04,0.008,1,22,64.28571429
10.9,391.6,6185.1,4.9,0,1.2,1.6,1.77,5,0.076,75,0.032,0.001,1,26,64.28571429
13.9,304.2,5027.1,3,0.5,1.8,2.3,3.27,8,0.068,65,0.02,0.002,2,27,57.14285714
48.7,800.9,7506.5,16.3,0,15.9,10.2,2.35,15,0.044,53,0.031,0.003,2,21,57.14285714
121.7,1165.6,6742.7,112.6,0,34.1,83.5,2.5,13,0.125,60,0.067,0.007,3,20,38.0952381
51.1,745.3,6249.1,9.6,0,10.7,6,1.77,9,0.094,87,0.044,0.004,2,20,57.14285714
14.9,454.8,5950.5,2.9,0,1.3,1.4,2.23,5,0.045,78,0.033,0.003,1,24,64.28571429
4.8,115.8,2166.9,11.3,2.9,1,1.5,0.64,8,0.035,85,0.041,0.002,2,19,75
10.6,212.5,8581.7,5.7,9,6,4.3,2.36,19,0.027,57,0.016,0.002,2,25,52.38095238
21.8,242.4,4366.6,4.5,0,1.6,1.6,1.37,19,0.051,16,0.048,0.002,3,30,54.76190476
15.4,513.1,17973.9,18.1,3.3,8.4,6.9,7.19,32,0.037,17,0.014,0.001,2,20,42.85714286
6.5,100.8,2482.7,0,0.8,0.4,1,0.86,5,0.061,87,0.037,0.002,3,19,67.85714286
9.6,126.4,2126.5,2.8,0,20.6,7.1,4.45,11,0.046,75,0.025,0.001,1,23,76.19047619
13.2,483.1,6374.4,1.1,0,1.8,2.1,2.39,4,0.024,78,0.036,0.001,2,25,64.28571429
13.9,522.9,7344.5,3.5,0.5,2.4,6.6,2.09,3,0.012,75,0.027,0.001,1,28,64.28571429
11.3,432.7,7428.2,3.2,0,2.1,2.3,2.02,2,0.024,57,0.02,0.001,1,26,64.28571429
11.5,412.3,8048.5,12.9,0,2.2,2.8,2.16,4,0.024,64,0.023,0.001,2,25,64.28571429
20.6,424,5373.9,16.6,0,2.2,1.9,1.31,12,0.025,24,0.024,0.002,2,23,50
20.9,320.4,5116,11.8,0,1.6,1.3,1.76,13,0.015,19,0.017,0.002,1,24,50
5.5,211.2,3144,0,0,1,0.7,0.66,8,0.024,58,0.034,0.003,2,25,82.14285714
6.5,220.8,4152,0,0,0.7,0.7,1.48,7,0.018,67.9,0.019,0.002,2,28,76.19047619
52.8,1168.6,10591.1,14.2,0,8.5,4.6,5.66,10,0.176,67,0.098,0.008,3,16,38.0952381
20.2,687,8095.8,4.6,0,2.2,2.8,5.61,13,0.1,52,0.054,0.002,3,18,50
23.3,1111,13123.7,6.6,0,5.1,4.3,7.33,7,0.122,89,0.103,0.002,3.5,17,38.0952381
71.8,1253.9,11813.2,45.5,0,9.4,9.1,9.47,19,0.187,45,0.108,0.004,0,16,45.23809524
25,964.7,15564.7,24.4,0,5.5,4.4,9.27,14,0.171,82,0.113,0.004,4,13,50
61.7,1244.1,13358.1,48.9,0,11,6.7,11.03,23,0.261,26,0.087,0.002,4,13,30.95238095
15.8,572.3,9196.5,3.2,0,3.2,3.5,5.74,7,0.181,83,0.09,0.008,3,16,50
48,1037.7,9630.2,5.8,0,7.2,3.1,7.19,11,0.234,70,0.092,0.004,4,15,42.85714286
15.1,356.3,4679,2.5,0,6.3,9.3,2.15,13,0.103,78,0.06,0.003,3,16,50
25.2,840.8,9007,5.4,0,3.6,4.5,2.48,9,0.015,75,0.021,0.001,2,26,64.28571429
48.2,778.8,6190.6,14.1,0,18.4,11.9,1.48,11,0.08,87,0.034,0.002,2,19,57.14285714
21.4,498.6,5888.9,0.7,0,1.8,2.4,2.09,9,0.055,50,0.027,0.001,1,24,57.14285714
18.5,626.1,6053.8,2.6,0,1.7,2.3,1.84,10,0.012,81,0.018,0.001,2,27,64.28571429
19.7,653.9,6149.8,3.9,0,2.7,2.4,0.71,11,0.021,74,0.024,0.002,2,24,63.0952381
16.3,389.1,4540.4,3.7,0,1.5,1.9,1.91,3,0.026,84,0.025,0.001,2,25,64.28571429
13.4,384,4781.9,0,0,1.6,2.4,1.78,5,0.0367,77,0.03,0.001,1,24,64.28571429
33.8,696,6102.3,0,0,3.6,2.9,4.06,20,0.175,79,0.147,0.005,4,15,50
26.6,141.5,3467,4.8,53,18.1,11.9,2.01,6,0.058,79,0.046,0.002,3,19,26.19047619
35.3,313.6,4119.8,136.4,51.5,451.4,153,2.3,5,0.078,85,0.005,0.005,3,18,14.28571429
20.9,208.9,5648.7,0.6,64.3,14.7,6.5,2.67,7,0.087,72,0.054,0.004,3,18,26.19047619
69.4,1041.4,13704.5,23,5.4,15.6,9.1,4.75,15,0.18,68,0.045,0.001,3,16,38.0952381
9.6,838.8,12177.9,11.4,0,5,11.5,2.5,5,0.023,66,0.028,0.003,1,25,64.28571429
17,573.4,7614.1,5.2,0,3.4,4.4,2.78,6,0.067,78,0.045,0.005,2,25,57.14285714
98.4,889.8,4204.5,88.9,0,31,54.9,1.49,6,0.064,87,0.066,0.004,3,20,50
20.6,369.6,3893.4,4.4,0,1.6,2.6,2.12,4,0.029,76,0.037,0.004,1,24,76.19047619
33.6,716.7,13119.6,13.8,0,32.4,17,2.94,29,0.028,76,0.011,0.001,2,24,57.14285714
25.4,910.7,12615.8,11,0,4.3,3.8,2.52,24,0.039,48,0.035,0.002,1,24,64.28571429
20.9,594.5,7441.9,0,0.6,4.2,3.8,2.04,6,0.056,76,0.039,0.003,3,18,50
16.1,212.1,4043.2,2.8,0,1.2,1.9,0.68,4,0.026,82,0.016,0.002,2,26,82.14285714
15.4,333.6,3552,1.2,0,3.8,1.7,0.8,9,0.025,63,0.032,0.003,2,24,75
13.7,579.4,5830.1,1.3,0,3.6,3.6,3.66,1,0.111,92,0.08,0.003,3,17,50
15.1,689.2,5829,0,0,3.2,2.9,4.18,11,0.116,95,0.07,0.002,3,17,50
9.8,344,4398.7,0.7,0,1.2,1.5,1.46,10,0.019,72,0.019,0.002,2,25,76.19047619
8.4,306.5,4289.4,0,0,1,1.3,1.55,9,0.019,75,0.021,0.002,2,27,76.19047619
50.2,855.3,4397.9,32.1,0,7.9,10.9,0.67,9,0.049,61,0.059,0.006,3,21,55.95238095
27.1,230.5,4810.7,236.8,27.7,628.1,202.1,2.18,4,0.029,82,0.041,0.002,2,18,21.42857143
18.7,165.8,5123.8,2.5,58.2,55,41.4,2.73,4,0.057,74,0.043,0.002,3,18,26.19047619
8.6,176.3,4653.6,2.9,17.3,97.7,53.1,2.31,2,0.06,73,0.043,0.002,3,16,26.19047619
